X.1,X.2
2022-02-21,2613
2022-02-22,2687
2022-02-24,3596
2022-02-25,4777
2022-02-26,4794
2022-02-27,4891
2022-02-28,4906
2022-03-01,4987
2022-03-02,5018
2022-03-03,5116
2022-03-04,5334
2022-03-07,5371
2022-03-10,5538
2022-03-11,6155
2022-03-13,6189
2022-03-14,6190
2022-03-15,6602
2022-03-16,6832
2022-03-17,6847
2022-03-18,6850
2022-03-24,7510
2022-03-25,7604
2022-03-31,7654
2022-04-05,7664
2022-04-06,7749
2022-04-07,7852
2022-04-08,7855
2022-04-11,8127
2022-04-12,8359
2022-04-13,8813
2022-04-14,8815
2022-04-19,8831
2022-04-20,8900
2022-04-21,9074
2022-04-25,9083
2022-04-27,9287
2022-05-03,9397
2022-05-04,9399
2022-05-08,9584
2022-05-17,9614
2022-05-20,9628
2022-05-31,9651
2022-06-02,9694
2022-06-04,9777
2022-06-05,9860
2022-06-09,9865
2022-06-10,10043
2022-06-27,10114
2022-06-28,10284
2022-06-30,10300
2022-07-05,10309
2022-07-08,10468
2022-07-22,10475
2022-07-23,10531
2022-07-24,10588
2022-07-25,10595
2022-07-26,10637
2022-07-28,10657
2022-07-29,10730
2022-08-02,10843
2022-08-03,10844
2022-08-04,10858
2022-08-05,10862
2022-08-08,10863
2022-08-17,10865
2022-08-23,10942
2022-09-05,10945
2022-09-06,10948
2022-09-08,10949
2022-09-09,10952
2022-09-15,11027
2022-09-16,11028
2022-09-26,11120
2022-09-30,11495
2022-10-01,11523
2022-10-04,11524
2022-10-07,11561
2022-10-08,11597
2022-10-12,11634
2022-10-19,11637
2022-10-20,11641
2022-10-24,11649
2022-10-26,11669
2022-10-28,11711
2022-11-01,11715
2022-11-02,11719
2022-11-14,11840
2022-11-15,11847
2022-11-18,11851
2022-11-23,11852
2022-11-30,11874
2022-12-08,11878
2022-12-09,11945
2022-12-13,11978
2022-12-15,12044
2022-12-19,12077
2022-12-21,12478
2022-12-22,12634
2023-01-17,12635
2023-01-18,12642
2023-01-26,12862
2023-01-29,12914
2023-01-30,12916
2023-01-31,12917
2023-02-01,12947
2023-02-03,13001
2023-02-10,13016
2023-02-15,13021
2023-02-23,13152
2023-02-24,13686
2023-02-28,13928
2023-03-01,13929
2023-03-02,14050
2023-03-03,14053
2023-03-19,14085
2023-03-30,14092
2023-04-02,14188
2023-04-11,14237
2023-04-12,14395
2023-04-14,14396
2023-04-20,14402
2023-04-21,14405
2023-05-19,14887
2023-05-21,14911
2023-05-25,14912
2023-05-31,14916
2023-06-05,14924
2023-06-10,14965
2023-06-12,14967
2023-06-23,14972
2023-06-27,14977
2023-06-28,15081
2023-06-29,15185
2023-07-04,15289
2023-07-17,15303
2023-07-20,15539
2023-07-21,15544
2023-07-24,15547
2023-07-28,15552
2023-07-29,15564
2023-07-31,15570
2023-08-02,15582
2023-08-04,15583
2023-08-08,15602
2023-08-11,15607
2023-08-18,15731
2023-08-21,16320
2023-08-23,16353
2023-08-24,16365
2023-08-26,16440
2023-09-14,16608
2023-09-22,16671
2023-09-29,16682
2023-10-10,16687
2023-10-12,16691
2023-10-17,16745
2023-10-18,16755
2023-11-02,16984
2023-11-03,16985
2023-11-08,17014
2023-11-10,17030
2023-11-13,17032
2023-11-16,17053
2023-12-01,17059
2023-12-05,17074
2023-12-06,17129
2023-12-12,17446
2023-12-15,17447
2023-12-20,17497
2023-12-21,18227
2023-12-23,18263
2024-01-04,18264
2024-01-11,18458
2024-01-15,18496
2024-01-18,18876
2024-01-31,18882
2024-02-08,18883
2024-02-22,18933
2024-02-23,19663
2024-02-24,19699
2024-02-25,19700
2024-02-26,19894
2024-02-28,19932
2024-03-01,20312
2024-03-03,20318
2024-03-04,20319
2024-03-20,20323
2024-03-25,20343
2024-04-04,20344
2024-04-18,20345
2024-04-25,20350
2024-05-01,20648
2024-05-03,20654
2024-05-14,20658
2024-05-17,20665
2024-05-21,20673
2024-05-24,20679
2024-05-28,20702
2024-05-30,20726
2024-06-03,20736
2024-06-04,20739
2024-06-12,21106
2024-06-13,21176
2024-06-18,21189
2024-06-21,21201
2024-06-25,21202
2024-06-26,21318
2024-06-29,21324
2024-07-01,21446
2024-07-05,21449
2024-07-09,21575
2024-07-31,21758
2024-08-09,21763
2024-08-23,22154
2024-09-04,22166
2024-09-05,22170
2024-09-10,22189
2024-09-13,22194
2024-09-19,22198
2024-09-26,22202
2024-10-01,22206
2024-10-10,22207
2024-10-16,22296
2024-10-17,22301
2024-10-28,22307
2024-10-30,22704
2024-11-07,22751
2024-11-19,22761
2024-11-21,22877
2024-11-25,22879
2024-12-04,22889
2024-12-09,22890
2024-12-10,22899
2024-12-16,22903
2024-12-17,23028
2024-12-18,23031
2024-12-21,23115
2024-12-23,23283
2024-12-27,23284
2024-12-31,23286
2025-01-10,23704
2025-01-15,23872